Instancja;Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum;;;;;;;;;;;;
ftv55.atsp;45;30;5000;4;2;0;2;1726;;;;;;;;;;;;
ftv55.atsp;45;30;5000;4;2;0;2;1669;;;;;;;;;;;;
ftv55.atsp;45;30;5000;4;2;0;2;1694;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv55.atsp;45;30;5000;4;2;0;2;1703;1693.4;1608;1669;1726;22.8538837;0.053109453;0.014212614;;5.310945274;1.421261424;3.793532338;7.338308458
ftv55.atsp;45;40;5000;4;2;0;2;1675;;;;;;;;;;;;
ftv55.atsp;45;40;5000;4;2;0;2;1699;;;;;;;;;;;;
ftv55.atsp;45;40;5000;4;2;0;2;1675;;;;;;;;;;;;
ftv55.atsp;45;40;5000;4;2;0;2;1713;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv55.atsp;45;40;5000;4;2;0;2;1699;1692.2;1608;1675;1713;16.70927886;0.052363184;0.010391343;;5.236318408;1.039134257;4.166666667;6.529850746
ftv55.atsp;45;50;5000;4;2;0;2;1669;;;;;;;;;;;;
ftv55.atsp;45;50;5000;4;2;0;2;1708;;;;;;;;;;;;
ftv55.atsp;45;50;5000;4;2;0;2;1699;;;;;;;;;;;;
ftv55.atsp;45;50;5000;4;2;0;2;1669;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv55.atsp;45;50;5000;4;2;0;2;1713;1691.6;1608;1669;1713;21.23205124;0.05199005;0.013204012;;5.199004975;1.320401197;3.793532338;6.529850746
ftv55.atsp;45;60;5000;4;2;0;2;1708;;;;;;;;;;;;
ftv55.atsp;45;60;5000;4;2;0;2;1669;;;;;;;;;;;;
ftv55.atsp;45;60;5000;4;2;0;2;1658;;;;;;;;;;;;
ftv55.atsp;45;60;5000;4;2;0;2;1708;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv55.atsp;45;60;5000;4;2;0;2;1699;1688.4;1608;1658;1708;23.35165947;0.05;0.014522176;;5;1.452217629;3.109452736;6.218905473
ft53.atsp;50;5;5000;4;1;1;2;7261;;;;;;;;;;;;
ft53.atsp;50;5;5000;4;1;1;2;7868;;;;;;;;;;;;
ft53.atsp;50;5;5000;4;1;1;2;7261;;;;;;;;;;;;
ft53.atsp;50;5;5000;4;1;1;2;7656;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ft53.atsp;50;5;5000;4;1;1;2;7529;7515;6905;7261;7868;261.5903286;0.088341781;0.03788419;;8.834178132;3.788418951;5.155684287;13.94641564
ft53.atsp;50;15;5000;4;1;1;2;7509;;;;;;;;;;;;
ft53.atsp;50;15;5000;4;1;1;2;7335;;;;;;;;;;;;
ft53.atsp;50;15;5000;4;1;1;2;7571;;;;;;;;;;;;
ft53.atsp;50;15;5000;4;1;1;2;7341;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ft53.atsp;50;15;5000;4;1;1;2;7479;7447;6905;7335;7571;104.9094848;0.078493845;0.015193264;;7.849384504;1.519326355;6.22737147;9.645184649
ft53.atsp;50;25;5000;4;1;1;2;7380;;;;;;;;;;;;
ft53.atsp;50;25;5000;4;1;1;2;7481;;;;;;;;;;;;
ft53.atsp;50;25;5000;4;1;1;2;7506;;;;;;;;;;;;
ft53.atsp;50;25;5000;4;1;1;2;7068;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ft53.atsp;50;25;5000;4;1;1;2;7230;7333;6905;7068;7506;183.62734;0.06198407;0.026593387;;6.198406951;2.65933874;2.360608255;8.703837799
ft53.atsp;50;35;5000;4;1;1;2;7484;;;;;;;;;;;;
ft53.atsp;50;35;5000;4;1;1;2;7214;;;;;;;;;;;;
ft53.atsp;50;35;5000;4;1;1;2;7234;;;;;;;;;;;;
ft53.atsp;50;35;5000;4;1;1;2;7214;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ft53.atsp;50;35;5000;4;1;1;2;7207;7270.6;6905;7207;7484;119.7196726;0.05294714;0.017338113;;5.294713975;1.733811333;4.373642288;8.385228096
ft53.atsp;50;45;5000;4;1;1;2;7207;;;;;;;;;;;;
ft53.atsp;50;45;5000;4;1;1;2;7304;;;;;;;;;;;;
ft53.atsp;50;45;5000;4;1;1;2;7214;;;;;;;;;;;;
ft53.atsp;50;45;5000;4;1;1;2;7144;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ft53.atsp;50;45;5000;4;1;1;2;7170;7207.8;6905;7144;7304;60.81282759;0.043852281;0.008807071;;4.385228096;0.880707134;3.461259957;5.778421434
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
