Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv47.atsp;1000;0.01;1000;0.99;1;0;1146000;2136;2.94126
ftv47.atsp;1000;0.001;10;0.99;1;1;13750;2136;0.0354823
ftv47.atsp;100;0.01;100;0.95;1;1;18000;2137;0.0453864
ftv47.atsp;100;0.001;1000;0.85;1;0;71000;2138;0.177862
ftv47.atsp;1000;0.01;1000;0.85;1;1;71000;2139;0.186304
ftv47.atsp;1000;0.01;1000;0.9;1;0;110000;2140;0.279062
ftv47.atsp;1000;0.001;1000;0.9;1;1;132000;2140;0.333302
ftv47.atsp;100;0.01;100;0.9;1;1;8800;2141;0.0228133
ftv47.atsp;1000;0.1;1000;0.95;1;0;180000;2141;0.466771
ftv47.atsp;1000;0.001;10;0.99;1;1;13750;2143;0.0353729
ftv47.atsp;100;0.001;1000;0.95;1;1;225000;2144;0.57633
ftv47.atsp;1000;0.1;1000;0.85;1;1;57000;2145;0.173251
ftv47.atsp;1000;0.01;1000;0.99;1;0;1146000;2147;3.06896
ftv47.atsp;100;0.001;1000;0.9;1;1;110000;2148;0.297852
ftv47.atsp;100;0.001;1000;0.95;1;0;225000;2148;0.556594
ftv47.atsp;100;0.1;1000;0.9;1;0;66000;2149;0.162722
ftv47.atsp;100;0.001;100;0.95;1;1;22500;2151;0.0582016
ftv47.atsp;1000;0.001;1000;0.99;1;1;1375000;2153;3.53164
ftv47.atsp;100;0.1;1000;0.99;1;0;688000;2154;1.74852
ftv47.atsp;100;0.001;1000;0.95;1;0;225000;2154;0.55907
ftv47.atsp;100;0.001;100;0.9;1;1;11000;2155;0.0294487
ftv47.atsp;100;0.01;1000;0.85;1;1;57000;2156;0.14598
ftv47.atsp;1000;0.001;100;0.99;1;1;137500;2156;0.346635
ftv47.atsp;1000;0.01;1000;0.85;1;1;71000;2157;0.187273
ftv47.atsp;1000;0.001;100;0.9;1;1;13200;2157;0.0349499
ftv47.atsp;100;0.01;1000;0.9;1;1;88000;2158;0.222436
ftv47.atsp;100;0.1;1000;0.99;1;0;688000;2159;1.72994
ftv47.atsp;100;0.01;1000;0.9;1;0;88000;2161;0.227684
ftv47.atsp;1000;0.1;1000;0.99;1;0;917000;2161;2.45209
ftv47.atsp;100;0.1;100;0.99;1;1;68800;2162;0.184916
ftv47.atsp;1000;0.01;100;0.9;1;1;11000;2162;0.0441268
ftv47.atsp;100;0.001;1000;0.85;1;0;71000;2163;0.181643
ftv47.atsp;1000;0.01;100;0.99;1;1;114600;2163;0.303144
ftv47.atsp;1000;0.001;100;0.9;1;1;13200;2163;0.033948
ftv47.atsp;1000;0.001;1000;0.99;1;0;1375000;2163;3.42319
ftv47.atsp;100;0.01;10;0.99;1;1;9170;2164;0.0231227
