Instancja;Czas;Jednostka;Wynik;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;412;443;438;437;435;;;;bez memetycznego;;memetycz insert;;;;
ftv47.atsp;20590;ms;1838;1838;1838;1838;1838;1838;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20568;ms;1939;1939;1939;1939;1939;1939;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;22333;ms;1991;1991;1991;1991;1991;1991;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;22526;ms;1872;1872;1872;1872;1872;1872;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;22170;ms;1881;1881;1881;1881;1881;1881;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;21238;ms;1957;1957;1957;1957;1957;1957;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;22010;ms;1892;1892;1892;1892;1892;1892;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;21032;ms;1872;1872;1872;1872;1872;1872;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;21834;ms;1897;1897;1897;1897;1897;1897;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;21390;ms;1947;1947;1947;1947;1947;1947;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;22290;ms;1917;1917;1917;1917;1917;1917;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;21421;ms;1917;1917;1917;1917;1917;1917;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20980;ms;1889;1889;1889;1889;1889;1889;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20603;ms;1872;1872;1872;1872;1872;1872;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20531;ms;1939;1939;1939;1939;1939;1939;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;21100;ms;1930;1930;1930;1930;1930;1930;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20514;ms;1872;1872;1872;1872;1872;1872;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20447;ms;2000;2000;2000;2000;2000;2000;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20568;ms;1897;1897;1897;1897;1897;1897;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20599;ms;1912;1912;1912;1912;1912;1912;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20541;ms;1926;1926;1926;1926;1926;1926;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20568;ms;1957;1957;1957;1957;1957;1957;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;21582;ms;1957;1957;1957;1957;1957;1957;;;1;1;1;1;1;;;;;;;;;;
