Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv33.atsp;1000;0.001;1000;0.96;0;1;339000;1351;0.834573;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1566;0.752169;;ry48p.atsp;100;0.01;1000;0.98;0;1;456000;14751;1.12331;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7376;0.343685
ftv33.atsp;1000;0.001;1000;0.98;0;1;684000;1351;1.68226;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1566;0.716251;;ry48p.atsp;100;0.01;1000;0.98;0;1;456000;14755;1.12114;;ft53.atsp;100;0.001;1000;0.98;0;1;570000;7380;sty.26
ftv33.atsp;1000;0.001;1000;0.98;0;1;684000;1351;1.68799;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.42634;;ry48p.atsp;100;0.01;1000;0.82;0;1;47000;14756;0.120265;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7381;0.345696
ftv33.atsp;1000;0.001;1000;0.999;0;1;13809000;1351;33.9593;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.42206;;ry48p.atsp;100;0.01;1000;0.8;0;1;42000;14756;0.115539;;ft53.atsp;100;0.001;1000;0.9;0;1;110000;7382;0.294652
ftv33.atsp;1000;0.001;1000;0.9;0;1;132000;1352;0.332732;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;sty.01;;ry48p.atsp;100;0.01;1000;0.86;0;1;62000;14765;0.152084;;ft53.atsp;100;0.001;1000;0.88;0;1;91000;7385;0.229966
ftv33.atsp;1000;0.001;1000;0.86;0;1;92000;1355;0.225447;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;sty.28;;ry48p.atsp;100;0.01;1000;0.98;0;1;456000;14765;1.12172;;ft53.atsp;100;0.001;1000;0.9;0;1;110000;7385;0.272403
ftv33.atsp;1000;0.001;1000;0.94;0;1;224000;1355;0.560851;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.41344;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14766;0.55878;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7387;0.698692
ftv33.atsp;1000;0.001;1000;0.98;0;1;684000;1355;1.67581;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.41588;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14767;0.372988;;ft53.atsp;100;0.001;1000;0.86;0;1;77000;7387;0.188
ftv33.atsp;1000;0.001;1000;0.98;0;1;684000;1355;1.67173;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.40689;;ry48p.atsp;100;0.01;1000;0.92;0;1;111000;14770;0.271976;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7388;0.470698
ftv33.atsp;1000;0.001;1000;0.98;0;1;684000;1355;sty.34;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.41053;;ry48p.atsp;100;0.01;1000;0.82;0;1;47000;14772;0.115636;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7395;0.344441
ftv33.atsp;1000;0.001;1000;0.82;0;1;70000;1355;0.17088;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.40796;;ry48p.atsp;100;0.01;1000;0.8;0;1;42000;14774;0.108742;;ft53.atsp;100;0.001;1000;0.82;0;1;59000;7397;0.147097
ftv33.atsp;1000;0.001;1000;0.82;0;1;70000;1355;0.172437;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.42263;;ry48p.atsp;100;0.01;1000;0.82;0;1;47000;14774;0.118077;;ft53.atsp;100;0.001;1000;0.9;0;1;110000;7398;0.271147
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1355;0.195452;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.40963;;ry48p.atsp;100;0.01;1000;0.88;0;1;73000;14774;0.181601;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7398;0.339508
ftv33.atsp;1000;0.001;1000;0.88;0;1;109000;1355;0.267631;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.41189;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14777;0.216093;;ft53.atsp;100;0.001;1000;0.9;0;1;110000;7398;0.27202
ftv33.atsp;1000;0.001;1000;0.9;0;1;132000;1355;0.324195;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.41664;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14778;0.21909;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7400;0.463174
ftv33.atsp;1000;0.001;1000;0.96;0;1;339000;1355;0.852091;;ftv35.atsp;1000;0.01;1000;0.999;0;1;11508000;1566;28.5118;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14783;0.563272;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7401;0.467182
ftv33.atsp;1000;0.001;1000;0.96;0;1;339000;1355;0.835561;;ftv35.atsp;1000;0.01;1000;0.999;0;1;11508000;1566;28.3179;;ry48p.atsp;100;0.01;1000;0.86;0;1;62000;14784;0.155832;;ft53.atsp;100;0.001;1000;0.98;0;1;570000;7401;1.48105
ftv33.atsp;1000;0.001;1000;0.999;0;1;13809000;1355;33.9245;;ftv35.atsp;1000;0.01;1000;0.999;0;1;11508000;1566;28.3801;;ry48p.atsp;100;0.01;1000;0.88;0;1;73000;14786;0.18192;;ft53.atsp;100;0.001;1000;0.82;0;1;59000;7405;0.144963
