Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1730;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10032;ms;1730;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10020;ms;1731;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10033;ms;1703;254;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10011;ms;1762;256;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1766;255;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;1755;253;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1646;257;150;3;0.15;2;3;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10025;ms;1746;257;150;3;0.15;2;3;2;5;1;10;1718,56;1640;257;;;;;;;;;;;;
ft53.atsp;10020;ms;7768;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10013;ms;7198;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10006;ms;7331;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10013;ms;7477;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10028;ms;7259;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10038;ms;7575;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10029;ms;7257;166;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10036;ms;7326;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10029;ms;7152;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10039;ms;7490;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10024;ms;7182;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10031;ms;7864;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10022;ms;7259;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10036;ms;7645;167;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10027;ms;7648;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10012;ms;7303;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10033;ms;7535;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10002;ms;7315;166;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10011;ms;7495;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
