Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10008;ms;1684;261;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10020;ms;1613;262;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1708;263;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10027;ms;1674;262;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1664;258;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10010;ms;1693;258;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1632;251;150;3;0.15;2;1;2;25;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10009;ms;1613;258;150;3;0.15;2;1;2;25;1;10;1676,95;1613;;;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;1669;258;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10029;ms;1623;263;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1669;254;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10014;ms;1729;250;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1686;263;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;1730;261;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1659;264;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10016;ms;1623;263;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;1667;264;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
