Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;;;;;;
ftv44.atsp;6395;ms;1704;1;19;16;19;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6331;ms;1704;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6419;ms;1704;1;16;14;17;19;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6358;ms;1704;1;20;16;19;21;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6261;ms;1702;1;20;16;20;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6360;ms;1704;1;21;17;19;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6386;ms;1704;1;20;16;19;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6428;ms;1704;1;19;16;19;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6394;ms;1704;1;19;16;19;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6249;ms;1689;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6386;ms;1704;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6442;ms;1702;1;19;16;19;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6386;ms;1706;1;20;16;19;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6354;ms;1701;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6380;ms;1702;1;20;16;19;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6410;ms;1704;1;20;16;19;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6363;ms;1701;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6426;ms;1690;1;20;17;19;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6344;ms;1704;1;19;16;19;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6375;ms;1704;1;20;16;19;18;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6307;ms;1717;1;20;17;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6321;ms;1704;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6455;ms;1704;1;19;17;20;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6396;ms;1704;1;19;17;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6483;ms;1704;1;19;15;18;19;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6592;ms;1669;1;19;16;19;18;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6352;ms;1704;1;20;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6342;ms;1701;1;20;16;20;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6274;ms;1717;1;19;17;20;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6258;ms;1704;1;20;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6312;ms;1704;1;19;17;19;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6381;ms;1704;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6457;ms;1666;1;17;15;18;18;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6518;ms;1704;1;19;16;18;18;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6573;ms;1704;1;18;16;18;18;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6534;ms;1723;1;18;16;18;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6576;ms;1676;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6351;ms;1720;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6450;ms;1666;1;20;16;19;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6257;ms;1704;1;20;17;20;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6233;ms;1704;1;20;16;20;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6357;ms;1704;1;20;17;19;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6299;ms;1705;1;19;16;19;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6230;ms;1704;1;20;16;20;20;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6405;ms;1704;1;20;17;20;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6344;ms;1704;1;20;16;20;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6379;ms;1704;1;20;16;19;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6315;ms;1704;1;20;17;20;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6308;ms;1704;1;20;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6271;ms;1704;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6350;ms;1704;1;20;16;19;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6298;ms;1659;1;20;16;19;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6541;ms;1743;1;19;15;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6377;ms;1704;1;19;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6483;ms;1704;1;17;14;17;17;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6597;ms;1704;1;20;16;19;19;16;;;;;;;;;;;;;;;;;;
ftv44.atsp;6327;ms;1666;1;18;16;20;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6350;ms;1697;1;18;15;17;18;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6348;ms;1701;1;19;16;19;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6632;ms;1717;1;17;14;17;17;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6661;ms;1704;1;20;17;19;20;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6633;ms;1704;1;20;17;20;19;17;;;;;;;;;;;;;;;;;;
ftv44.atsp;6255;ms;1690;1;20;16;19;20;16;1702.04;1659;12.60504949;1743;17.074;6255;;;;;;;;;;;;
ftv44.atsp;10090;ms;1684;1;44;36;43;43;36;;;;;;;;;;;;;;;;;;
ftv44.atsp;9306;ms;1683;1;46;41;48;49;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9493;ms;1666;1;50;42;50;49;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9405;ms;1704;1;50;41;50;48;42;;;;;;;;;;;;;;;;;;
ftv44.atsp;9342;ms;1666;1;51;42;51;51;42;;;;;;;;;;;;;;;;;;
ftv44.atsp;9234;ms;1704;1;47;40;47;48;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9206;ms;1683;1;52;43;51;51;42;;;;;;;;;;;;;;;;;;
ftv44.atsp;9245;ms;1669;1;49;41;49;48;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9554;ms;1705;1;48;41;49;48;41;;;;;;;;;;;;;;;;;;
