Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;
rbg358.atsp;27790;ms;1759;1;2;2;2;2;2;
rbg358.atsp;27555;ms;1756;1;2;2;2;2;2;
rbg358.atsp;27579;ms;1750;1;2;2;2;2;2;
rbg358.atsp;28314;ms;1756;1;2;2;2;2;2;
rbg358.atsp;26871;ms;1749;1;2;2;2;2;2;1743
rbg358.atsp;40667;ms;1731;1;4;4;4;4;4;
rbg358.atsp;40658;ms;1731;1;4;4;4;4;4;
rbg358.atsp;41201;ms;1730;1;4;4;4;4;4;
rbg358.atsp;40599;ms;1730;1;4;4;4;4;4;
rbg358.atsp;42961;ms;1731;1;4;4;4;4;4;
rbg358.atsp;41693;ms;1731;1;4;4;4;4;4;
rbg358.atsp;41675;ms;1727;1;4;4;4;4;4;
rbg358.atsp;41494;ms;1729;1;4;4;4;4;4;
rbg358.atsp;41134;ms;1732;1;4;4;4;4;4;
rbg358.atsp;41216;ms;1727;1;4;4;4;4;4;
rbg358.atsp;41199;ms;1731;1;4;4;4;4;4;
rbg358.atsp;41395;ms;1730;1;4;4;4;4;4;
rbg358.atsp;42352;ms;1730;1;4;4;4;4;4;
rbg358.atsp;42129;ms;1731;1;4;4;4;4;4;
rbg358.atsp;40743;ms;1728;1;4;4;4;4;4;
rbg358.atsp;41863;ms;1731;1;4;4;4;4;4;
rbg358.atsp;40034;ms;1726;1;4;4;4;4;4;
rbg358.atsp;41415;ms;1725;1;4;4;4;4;4;
rbg358.atsp;40255;ms;1727;1;4;4;4;4;4;
rbg358.atsp;41890;ms;1724;1;4;4;4;4;4;
rbg358.atsp;40823;ms;1732;1;4;4;4;4;4;
rbg358.atsp;41601;ms;1733;1;4;4;4;4;4;
rbg358.atsp;40640;ms;1730;1;4;4;4;4;4;
rbg358.atsp;40782;ms;1729;1;4;4;4;4;4;
rbg358.atsp;40709;ms;1731;1;4;4;4;4;4;
rbg358.atsp;41123;ms;1727;1;4;4;4;4;4;
rbg358.atsp;40733;ms;1731;1;4;4;4;4;4;
rbg358.atsp;41863;ms;1730;1;4;4;4;4;4;
rbg358.atsp;40720;ms;1727;1;4;4;4;4;4;
rbg358.atsp;41527;ms;1720;1;4;4;4;4;4;
rbg358.atsp;42217;ms;1726;1;4;4;4;4;4;
rbg358.atsp;41035;ms;1730;1;4;4;4;4;4;
rbg358.atsp;41175;ms;1730;1;4;4;4;4;4;
rbg358.atsp;40925;ms;1735;1;4;4;4;4;4;
rbg358.atsp;39842;ms;1731;1;4;4;4;4;4;
rbg358.atsp;40475;ms;1730;1;4;4;4;4;4;
rbg358.atsp;40095;ms;1731;1;4;4;4;4;4;
rbg358.atsp;41534;ms;1728;1;4;4;4;4;4;
rbg358.atsp;39890;ms;1736;1;4;4;4;4;4;
rbg358.atsp;40499;ms;1731;1;4;4;4;4;4;
rbg358.atsp;39612;ms;1735;1;4;4;4;4;4;
rbg358.atsp;40825;ms;1729;1;4;4;4;4;4;
rbg358.atsp;40161;ms;1732;1;4;4;4;4;4;
rbg358.atsp;41394;ms;1730;1;4;4;4;4;4;
rbg358.atsp;40784;ms;1731;1;4;4;4;4;4;
rbg358.atsp;41195;ms;1726;1;4;4;4;4;4;
rbg358.atsp;41932;ms;1728;1;4;4;4;4;4;
rbg358.atsp;40702;ms;1730;1;4;4;4;4;4;
rbg358.atsp;41889;ms;1727;1;4;4;4;4;4;
rbg358.atsp;40803;ms;1734;1;4;4;4;4;4;1720
rbg403.atsp;27257;ms;3479;1;1;1;1;1;1;
rbg403.atsp;27572;ms;3486;1;1;1;1;1;1;
rbg403.atsp;27709;ms;3490;1;1;1;1;1;1;
rbg403.atsp;27302;ms;3486;1;1;1;1;1;1;
rbg403.atsp;26903;ms;3481;1;1;1;1;1;1;
rbg403.atsp;27321;ms;3478;1;1;1;1;1;1;
rbg403.atsp;27097;ms;3481;1;1;1;1;1;1;
rbg403.atsp;27392;ms;3484;1;1;1;1;1;1;
rbg403.atsp;27579;ms;3479;1;1;1;1;1;1;
rbg403.atsp;27649;ms;3486;1;1;1;1;1;1;
rbg403.atsp;27661;ms;3484;1;1;1;1;1;1;
rbg403.atsp;27698;ms;3488;1;1;1;1;1;1;
rbg403.atsp;27516;ms;3488;1;1;1;1;1;1;
rbg403.atsp;26923;ms;3483;1;1;1;1;1;1;
rbg403.atsp;27040;ms;3479;1;1;1;1;1;1;
rbg403.atsp;26976;ms;3481;1;1;1;1;1;1;
rbg403.atsp;26809;ms;3490;1;1;1;1;1;1;
