Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;
ftv47.atsp;25323;ms;1845;1;156;154;183;185;156;;;;;;;;;;;;;
ftv47.atsp;25410;ms;1840;1;157;156;186;185;158;;;;;;;;;;;;;
ftv47.atsp;25447;ms;1838;1;154;158;186;187;156;;;;;;;;;;;;;
ftv47.atsp;25351;ms;1790;1;156;154;189;189;156;;;;;;;;;;;;;
ftv47.atsp;25325;ms;1837;1;156;155;181;186;154;;;;;;;;;;;;;
ftv47.atsp;25384;ms;1790;1;154;155;183;188;157;;;;;;;;;;;;;
ftv47.atsp;25467;ms;1790;1;156;155;188;188;158;;;;;;;;;;;;;
ftv47.atsp;25502;ms;1827;1;157;154;188;186;157;;;;;;;;;;;;;
ftv47.atsp;25531;ms;1850;1;151;151;183;183;154;;;;;;;;;;;;;
ftv47.atsp;25345;ms;1776;1;152;150;179;182;151;;;;;;;;;;;;;
ftv47.atsp;25611;ms;1842;1;154;156;181;187;156;;;;;;;;;;;;;
ftv47.atsp;25380;ms;1827;1;155;155;183;184;155;;;;;;;;;;;;;
ftv47.atsp;25625;ms;1840;1;153;154;182;184;157;;;;;;;;;;;;;
ftv47.atsp;25304;ms;1790;1;153;154;184;185;153;;;;;;;;;;;;;
ftv47.atsp;25423;ms;1790;1;154;153;181;186;152;;;;;;;;;;;;;
ftv47.atsp;25519;ms;1842;1;153;154;184;184;155;;;;;;;;;;;;;
